TITLE,RESTAURANT_ID,CUISINES,TIME,CITY,LOCALITY,RATING,VOTES,COST
"CASUAL DINING,IRANI CAFE",12401,"Parsi, Hyderabadi","11:30am – 11:30pm (Mon, Tue, Wed, Thu, Sun)...",Hyderabad,Jubilee Hills,4.5,2499 votes,1400
CASUAL DINING,5254,"North Indian, Fast Food",7:30am – 12midnight (Mon-Sun),Mumbai,Borivali West,3.6,319 votes,900
CASUAL DINING,8259,"North Indian, Hyderabadi, Chinese",11am – 12midnight (Mon-Sun),Hyderabad,Nagole,3.5,121 votes,600
CASUAL DINING,4009,"Chinese, Thai",11am – 11:45pm (Mon-Sun),Andheri Lokhandwala,Andheri Lokhandwala,3.6,535 votes,600
"BAKERY,QUICK BITES",11841,"Bakery, Fast Food, Momos","Closed (Mon),9am – 10pm (Tue-Sun)",New Delhi,Krishna Nagar,4.1,350 votes,200
CASUAL DINING,6465,"Continental, European",9:30am – 10pm (Mon-Sun),Hyderabad,Hitech City,4.2,400 votes,350
QUICK BITES,1048,"North Indian, Rolls, Momos",10:30am – 11:30pm (Mon-Sun),New Delhi,Karol Bagh,4.0,1327 votes,500
None,12499,"North Indian, Fast Food, Mughlai, Rolls",11am – 3am (Mon-Sun),New Delhi,SDA,4.0,1191 votes,450
CASUAL DINING,10412,"Andhra, Chinese, North Indian, Biryani","11am – 3:30pm, 7pm – 11pm (Mon-Sun)",Bangalore,Thippasandra,3.9,533 votes,600
CAFÉ,2389,"Cafe, Italian, Chinese",11am – 11pm (Mon-Sun),New Delhi,Dwarka,4.2,493 votes,700
QUICK BITES,6551,"Biryani, North Indian",12noon – 11pm (Mon-Sun),Kochi,Kakkanad,3.8,372 votes,400
CASUAL DINING,13446,"North Indian, Chinese, BBQ","12:30pm – 11pm (Mon-Thu),12:30pm – 11:30pm...",Bangalore,HSR,3.4,105 votes,700
"BAR,CASUAL DINING",10277,Italian,"Closed (Mon),12noon – 3pm, 6pm – 11pm (Tue-Sun)",Chennai,Vadapalani,4.1,178 votes,1400
BAR,4222,"Finger Food, North Indian, Continental, Italian",11am – 11pm (Mon-Sun),Chennai,Neelangarai,4.3,150 votes,1000
PUB,6577,"Finger Food, Continental, Asian, North Indian",12:30pm – 1am (Mon-Sun),Bangalore,Koramangala 5th Block,4.2,2456 votes,1400
QUICK BITES,6097,"South Indian, North Indian",7am – 10pm (Mon-Sun),Chennai,Korattur,3.5,38 votes,200
CAFÉ,2802,"Cafe, Tea","8am – 11pm (Mon-Fri),8am – 7pm (Sat),Closed (Sun)",Gurgaon,DLF Cyber City,4.0,546 votes,500
CAFÉ,7836,"Cafe, Continental, European, American, Healthy Food",10am – 12midnight (Mon-Sun),Andheri West,Versova,4.0,2228 votes,1200
QUICK BITES,2151,"South Indian, North Indian, Chinese",7am – 10pm (Mon-Sun),Kochi,Palarivattom,4.4,250 votes,300
BEVERAGE SHOP,1494,"Beverages, Coffee, Tea",6am – 11pm (Mon-Sun),Chennai,Besant Nagar,2.7,132 votes,500
QUICK BITES,14397,"Asian, Indonesian, Korean, Chinese, Fast Food",24 Hours (Mon-Sun),Bangalore,International Airport,3.3,7 votes,500
QUICK BITES,2331,"Arabian, Burger","9:30am – 11:30pm (Mon),9:30am – 11:45pm (Tue-Sun)",Chennai,Sholinganallur,3.7,41 votes,400
CAFÉ,4455,"Cafe, Healthy Food",8:30am – 11pm (Mon-Sun),Bangalore,MG Road,4.3,69 votes,800
CASUAL DINING,14435,Continental,12noon – 11pm (Mon-Sun),Chennai,Nungambakkam,4.0,299 votes,1000
QUICK BITES,10103,"North Indian, Chinese",10am – 11pm (Mon-Sun),Bangalore,KR Puram,3.4,15 votes,250
QUICK BITES,7679,"North Indian, South Indian, Chinese","12noon – 10:30pm (Mon, Tue, Wed, Thu, Fri, Sun)...",Hyderabad,Kondapur,3.3,68 votes,200
QUICK BITES,6567,"North Indian, Chinese",12:30pm – 11pm (Mon-Sun),Bangalore,Ulsoor,3.8,44 votes,300
QUICK BITES,10688,South Indian,4pm – 12midnight (Mon-Sun),Kochi,Kaloor,3.3,46 votes,250
QUICK BITES,12547,"North Indian, Mughlai",11am – 12midnight (Mon-Sun),Hyderabad,Begum Bazaar,4.0,120 votes,400
QUICK BITES,3458,"American, Burger, Fast Food",11am – 11pm (Mon-Sun),Bangalore,Bannerghatta Road,4.2,289 votes,400
CASUAL DINING,2432,"Tibetan, Nepalese, Momos",12:30pm – 11pm (Mon-Sun),Gurgaon,Sector 15,4.1,263 votes,800
FINE DINING,3252,"European, South Indian, American, North Indian, Continental",24 Hours (Mon-Sun),Hyderabad,Hitech City,4.0,443 votes,2000
"CASUAL DINING,BAR",2003,"Continental, North Indian, Chinese, Healthy Food",12noon – 1am (Mon-Sun),Malad East,Film City Road,3.9,985 votes,1400
CASUAL DINING,14131,"Italian, Pizza, Beverages","12:30pm – 3:30pm, 7pm – 11pm (Mon-Thu),12:30pm...",Bangalore,Indiranagar,4.7,1824 votes,1200
DESSERT PARLOR,3378,"Ice Cream, Desserts","11am – 11pm (Mon, Tue, Wed, Thu, Sun), 11am –...",Bangalore,Whitefield,4.3,518 votes,400
CASUAL DINING,13222,"North Indian, Continental, Biryani",8am – 12midnight (Mon-Sun),Kochi,Chittoor Road,3.3,12 votes,400
CAFÉ,2419,"Cafe, Continental",11am – 11pm (Mon-Sun),Bangalore,Bannerghatta Road,4.0,236 votes,700
CASUAL DINING,7051,"South Indian, North Indian, Chinese, Fast Food",9am – 12:30AM (Mon-Sun),Andheri West,Andheri Lokhandwala,3.9,739 votes,700
QUICK BITES,5349,"North Indian, Chinese",12noon – 10pm (Mon-Sun),Bangalore,Rajajinagar,3.7,34 votes,350
QUICK BITES,688,"Chinese, North Indian, Mexican, Fast Food",11:30am – 11:30pm (Mon-Sun),Bangalore,Banaswadi,3.7,66 votes,400
"CAFÉ,QUICK BITES",13334,Cafe,10am – 9pm (Mon-Sun),Kochi,Panampilly Nagar,3.8,31 votes,400
QUICK BITES,2257,"Italian, Pizza",12noon – 4am (Mon-Sun),New Delhi,Rajinder Nagar,3.3,20 votes,400
QUICK BITES,6172,"South Indian, North Indian",6am – 10pm (Mon-Sun),Hyderabad,Tarnaka,3.6,219 votes,300
CASUAL DINING,4963,Kerala,"12noon – 3:30pm, 7pm – 10pm (Mon-Sun)",682036,Kerala,4.0,145 votes,400
CASUAL DINING,638,"North Indian, South Indian, Fast Food, Chinese",7am – 11:30pm (Mon-Sun),Chennai,T. Nagar,3.9,196 votes,800
CASUAL DINING,7600,"Seafood, South Indian",7:30am – 11:30pm (Mon-Sun),Bangalor,Jalahalli,3.6,18 votes,600
CASUAL DINING,3216,"Chinese, Thai, Seafood, Momos",12noon – 12midnight (Mon-Sun),New Delhi,Greater Kailash (GK) 2,3.6,593 votes,1100
QUICK BITES,7841,"North Indian, Beverages",11am – 11pm (Mon-Sun),Kochi,Kalamassery,NEW,,200
QUICK BITES,6335,South Indian,7am – 10pm (Mon-Sun),Bangalore,Kengeri,4.0,87 votes,200
"BEVERAGE SHOP,DESSERT PARLOR",8750,"Beverages, Desserts",12noon – 12:30AM (Mon-Sun),Mumbai,Mazgaon,3.7,69 votes,300
CASUAL DINING,10976,South Indian,7:30am – 10:30pm (Mon-Sun),Chennai,Triplicane,4.3,1025 votes,300
QUICK BITES,11999,Arabian,11am – 11pm (Mon-Sun),Bangalore,BTM,3.4,6 votes,100
CASUAL DINING,13569,"North Indian, Mughlai, Chinese, Seafood",12:30pm – 1:30am (Mon-Sun),Mumbai,Kalwa,4.3,1185 votes,850
CASUAL DINING,15483,"European, Healthy Food, Indian",7am – 11pm (Mon-Sun),Kochi,Mattancherry,3.3,4 votes,2500
None,11096,"Pizza, Fast Food",11am – 11pm (Mon-Sun),New Delhi,Kalkaji,NEW,,200
"SWEET SHOP,QUICK BITES",5186,"Mithai, Street Food, Fast Food",7:30am – 10:30pm (Mon-Sun),Bangalore,BTM,4.0,225 votes,200
QUICK BITES,2787,North Indian,11:30am – 4am (Mon-Sun),New Delhi,Rohini,3.6,53 votes,200
CASUAL DINING,10614,"North Indian, Mughlai",12noon – 12midnight (Mon-Sun),Mumbai,Kurla Complex,4.3,380 votes,1800
QUICK BITES,8887,"Fast Food, Momos",11am – 11:30pm (Mon-Sun),New Delhi,Satyaniketan,4.0,405 votes,150
CASUAL DINING,10327,"Pizza, Fast Food",11am – 3am (Mon-Sun),Mumbai,Kandivali West,4.3,1920 votes,650
"DESSERT PARLOR,SWEET SHOP",8155,"Desserts, Mithai",8:30am – 10pm (Mon-Sun),Hyderabad,Dilsukhnagar,3.5,101 votes,200
BAKERY,2646,"Bakery, Desserts",10am – 1am (Mon-Sun),Hyderabad,Gachibowli,3.1,145 votes,300
QUICK BITES,7173,"Rolls, North Indian, Mughlai","11:30am – 11pm (Mon-Thu),11:30am – 1am (Fri-Sun)",Bangalore,Electronic City,3.4,72 votes,400
BEVERAGE SHOP,7739,Beverages,10am – 11pm (Mon-Sun),Bangalore,Kengeri,3.9,8 votes,150
QUICK BITES,1795,"Fast Food, Italian, Burger",7am – 4am (Mon-Sun),Mumbai,Bhayandar,3.8,105 votes,350
CASUAL DINING,5287,"Kerala, South Indian, North Indian, Chinese",9am – 11pm (Mon-Sun),Navi Mumbai,Nerul,4.0,284 votes,500
QUICK BITES,13173,"North Indian, Biryani",7am – 12midnight (Mon-Sun),Bangalore,City Market,3.8,73 votes,400
"BAKERY,DESSERT PARLOR",5684,"Bakery, Desserts, Healthy Food",10am – 8pm (Mon-Sun),Bandra West,Pali Hill,4.0,545 votes,500
None,1100,"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",12noon – 1am (Mon-Sun),New Delhi,East of Kailash,4.2,1120 votes,1500
FINE DINING,4212,"Asian, Japanese, Thai, Chinese","12noon – 3:30pm, 7pm – 11:55pm (Mon-Sun)",Gurgaon,Sector 29,4.0,416 votes,3500
QUICK BITES,12657,"North Indian, South Indian","Closed (Mon),7:30am – 10:30pm (Tue-Sun)",Bangalore,Vijay Nagar,-,,300
QUICK BITES,3461,"North Indian, Fast Food",9am – 10:30pm (Mon-Sun),Delhi,Uttam Nagar,3.8,164 votes,400
QUICK BITES,3328,Arabian,11am – 10pm (Mon-Sun),Kochi,Near Elamkulam,3.1,4 votes,400
CASUAL DINING,9136,"North Indian, Chinese","11am – 4pm, 6:30pm – 11pm (Mon-Sun)",Bangalore,Koramangala 3rd Block,3.7,166 votes,500
QUICK BITES,9039,"Kerala, South Indian, North Indian",8am – 11pm (Mon-Sun),Kochi,Kaloor,4.1,175 votes,300
CASUAL DINING,7713,Thai,11am – 9pm (Mon-Sun),Bangalore,New BEL Road,4.1,70 votes,800
QUICK BITES,9565,Chinese,1pm – 11:30pm (Mon-Sun),Hyderabad,Kacheguda,4.0,61 votes,300
CASUAL DINING,2340,"Chinese, North Indian, Mughlai, Fast Food","10:30am – 12midnight (Mon, Tue, Wed, Thu, Sat...",Mumbai,Near Andheri West Station,3.9,1054 votes,700
None,7400,"Italian, Continental, Chinese, Thai, American, Arabian",9pm – 7am (Mon-Sun),Bangalore,BTM,3.4,15 votes,300
CAFÉ,2768,"Cafe, Chinese, Italian",11am – 11pm (Mon-Sun),New Delhi,Delhi University-GTB Nagar,3.9,691 votes,750
CAFÉ,9952,"Cafe, Healthy Food","12:30pm – 3:30pm, 6pm – 10:30pm (Mon-Sun)",Hyderabad,Lingampally,4.2,148 votes,500
CASUAL DINING,10884,"Fast Food, Mexican, North Indian, Chinese",11am – 11pm (Mon-Sun),Chennai,Nanganallur,3.8,221 votes,700
CASUAL DINING,1177,"North Indian, Iranian",12noon – 10:30pm (Mon-Sun),Bangalore,Church Street,3.9,228 votes,950
QUICK BITES,3055,"Biryani, Kebab","Closed (Mon),11am – 10:30pm (Tue-Sun)",Bangalore,Rajajinagar,3.8,302 votes,400
BAR,13495,"North Indian, Chinese","11am – 12midnight (Mon-Thu),11am – 1am (Fri-Sun)",Bangalore,Koramangala 1st Block,3.7,23 votes,800
BAKERY,4933,"Bakery, Desserts",9am – 11pm (Mon-Sun),Chennai,Anna Nagar East,3.8,66 votes,400
BEVERAGE SHOP,13927,"Juices, Fast Food, Sandwich, Beverages","10am – 10pm (Mon),9:30am – 10pm (Tue),9:30am –...",Chennai,Poonamalle,3.4,19 votes,250
None,14529,"Burger, Sandwich","11am – 10pm (Mon, Tue, Wed, Thu, Fri, Sun), 11am...",Chennai,Purasaiwalkam,3.5,27 votes,200
CASUAL DINING,6413,"Hyderabadi, Andhra, North Indian, Chinese, South Indian","12noon – 4pm, 7pm – 11pm (Mon-Sun)",Bangalore,Whitefield,4.0,284 votes,800
QUICK BITES,10156,"Kerala, South Indian",11am – 11pm (Mon-Sun),Kochi,Marine Drive,2.7,119 votes,350
CASUAL DINING,2843,"Malwani, Seafood, Maharashtrian","11:30am – 3:30pm, 7pm – 10:30pm (Mon, Wed)...",Mumbai,Dadar West,4.3,1259 votes,700
CASUAL DINING,405,"Mediterranean, Continental, Italian, Salad","11:45am – 3:30pm, 6:45pm – 11:30pm (Mon-Sun)",Bangalore,Kalyan Nagar,4.2,789 votes,1400
QUICK BITES,8787,"Fast Food, Continental, North Indian",8am – 11pm (Mon-Sun),Kochi,Kakkanad,3.4,159 votes,300
BAKERY,7776,"Bakery, Desserts, Beverages",7am – 12midnight (Mon-Sun),Bangalore,BTM,4.0,17 votes,450
CASUAL DINING,6902,North Indian,"12noon – 3pm, 7pm – 10:30pm (Mon-Sun)",Kochi,Kakkanad,4.1,180 votes,250
QUICK BITES,1627,South Indian,11am – 11pm (Mon-Sun),Chennai,Kodambakkam,3.7,40 votes,500
CASUAL DINING,7095,"Gujarati, Rajasthani, North Indian","11:30am – 3:30pm, 7pm – 11pm (Mon-Sun)",Mumbai,Borivali West,NEW,,800
QUICK BITES,2657,"Mexican, Tex-Mex, Fast Food",11am – 11pm (Mon-Sun),Gurgaon,Sohna Road,3.7,55 votes,500
CASUAL DINING,3739,"Chinese, Hyderabadi, North Indian","7am – 12midnight (Mon-Thu),7am – 12:30AM (Fri-Sun)",Hyderabad,LIngampally,3.6,45 votes,500
CAFÉ,2478,"Cafe, Italian","11:30am – 10:30pm (Mon-Fri),9:30am – 10:30pm...",Bangalore,Kalyan Nagar,4.1,610 votes,700
QUICK BITES,4634,"Burger, Fast Food, Roast Chicken, Finger Food",11am – 11pm (Mon-Sun),Bangalore,JP Nagar,4.0,66 votes,300
None,2806,"North Indian, Chinese",11am – 11pm (Mon-Sun),Noida,Sector 53,3.4,260 votes,400
QUICK BITES,8091,"North Indian, Chinese",11am – 11pm (Mon-Sun),New Delhi,Dwarka,NEW,,500
None,15562,"Healthy Food, North Indian, Biryani, Continental, Desserts",7am – 10pm (Mon-Sun),Gurgaon,MG Road,4.4,702 votes,500
QUICK BITES,11340,"Chinese, North Indian, South Indian, Fast Food",8am – 12midnight (Mon-Sun),Mumbai,Kandivali West,3.8,234 votes,450
QUICK BITES,4993,"North Indian, South Indian","7:30am – 9:30pm (Mon-Sat),Closed (Sun)",Bangalore-560066,Whitefield,NEW,,150
None,119,"Mithai, Street Food","8am – 1pm, 3pm – 10pm (Mon-Sun)",Bangalore,HSR,3.6,55 votes,150
"BAKERY,QUICK BITES",10122,"Bakery, Pizza, Burger, Ice Cream",10am – 10:30pm (Mon-Sun),Secunderabad,Uppal,3.6,75 votes,300
"CASUAL DINING,BAR",4506,"North Indian, Continental, Seafood, Chinese",11am – 11:30pm (Mon-Sun),Mumbai,Vasai,4.2,1126 votes,1100
BAKERY,2633,"Bakery, Desserts",9am – 12midnight (Mon-Sun),Mumbai,Jogeshwari,3.3,6 votes,400
"BAR,LOUNGE",4214,"Italian, Continental, Chinese, American",12noon – 1am (Mon-Sun),New Delhi,Connaught Place,4.3,1293 votes,1600
CAFÉ,2431,Cafe,10am – 11pm (Mon-Sun),Kochi,Elamkulam,3.1,10 votes,400
CASUAL DINING,10830,"Arabian, Chinese, North Indian","12noon – 11:30pm, 12midnight – 12:30AM (Mon-Sun)",Bangalore,Kammanahalli,3.9,261 votes,450
CASUAL DINING,9576,"North Indian, Chinese, Italian, Rajasthani, Fast Food",11:30am – 11:30pm (Mon-Sun),Mumbai,Kandivali East,3.7,541 votes,1300
None,9101,"North Indian, South Indian, Chinese, Continental","12noon – 3pm, 7pm – 2am (Mon-Sun)",,,3.6,728 votes,500
BEVERAGE SHOP,4940,"Beverages, Desserts, Ice Cream",11am – 1:30am (Mon-Sun),Andheri West,Shastri Nagar - Lokhandwala,4.2,317 votes,200
QUICK BITES,4958,"Pizza, Fast Food, Beverages",5pm – 11pm (Mon-Sun),Hyderabad,Kothapet,3.9,74 votes,400
QUICK BITES,9057,North Indian,"12:30pm – 3pm, 6:30pm – 11:30pm (Mon-Sun)",New Delhi,JNU,4.0,331 votes,400
FOOD COURT,5171,Desserts,11am – 11pm (Mon-Sun),Hyderabad,Hitech City,3.8,52 votes,180
CASUAL DINING,14310,"Thai, Japanese, Korean, Burmese, Chinese","12noon – 3:30pm, 7pm – 11pm (Mon-Thu),12noon –...",Bangalore,MG Road,3.9,1956 votes,2100
QUICK BITES,10311,Chinese,11am – 11pm (Mon-Sun),India,Telangana 500084,3.5,92 votes,250
CASUAL DINING,13962,"North Indian, South Indian, Chinese, Fast Food, Juices",7am – 11pm (Mon-Sun),Bangalore,Banashankari,3.9,912 votes,750
CASUAL DINING,8397,"North Indian, Chinese, Continental",12noon – 11pm (Mon-Sun),Bangalore,JP Nagar,4.1,1326 votes,1200
QUICK BITES,15149,"North Indian, Chinese","11:30am – 5pm, 6pm – 11pm (Mon, Wed, Thu, Fri...",New Delhi,Shahdara,3.8,230 votes,550
CASUAL DINING,8977,North Indian,12noon – 11pm (Mon-Sun),New Delhi,Greater Kailash 2 (GK 2),3.8,49 votes,1800
QUICK BITES,12374,Fast Food,12noon – 10:30pm (Mon-Sun),Hyderabad,Nizampet,3.5,79 votes,350
CAFÉ,7757,"Cafe, Fast Food",8am – 11pm (Mon-Sun),Mumbai,Marol Mumbai,3.8,118 votes,600
QUICK BITES,14194,"Fast Food, Rolls",11am – 11pm (Mon-Sun),Chennai,Potheri,3.7,16 votes,300
CASUAL DINING,1266,North Indian,"11:30am – 10:30pm (Mon-Thu),12midnight – 1am...",Bangalore,Indiranagar,4.0,402 votes,650
"BAR,CASUAL DINING",13566,"Continental, Italian, Chinese, North Indian","12noon – 1:30am (Mon, Tue, Wed, Thu, Fri, Sun)...",Mumbai,Breach Candy,3.9,462 votes,1500
None,1731,"North Indian, Biryani, Rolls","12noon – 3:30pm, 7pm – 2am (Mon-Sun)",Mumbai,4 Bungalows,4.7,226 votes,350
QUICK BITES,4634,Fast Food,1pm – 10pm (Mon-Sun),Bangalore,Indiranagar,3.7,78 votes,200
LOUNGE,12989,"Continental, North Indian, Chinese, Finger Food",12noon – 12midnight (Mon-Sun),New Delhi,Rajouri Garden,4.2,481 votes,1100
CASUAL DINING,6440,"Biryani, North Indian","12noon – 4pm, 7:30pm – 11:30pm (Mon-Sun)",Bangalore,Electronic City,4.0,1404 votes,600
BAKERY,2641,Bakery,10am – 11pm (Mon-Sun),Madhuranagar,Behind Allahabad Bank,3.5,32 votes,300
FINE DINING,8167,"South Indian, Kerala, Chettinad","12:30pm – 3pm, 7:30pm – 11pm (Mon-Sun)",Chennai Teynampet,Teynampet,4.2,288 votes,1800
None,13098,South Indian,8pm – 4am (Mon-Sun),Hyderabad,Madhapur,3.3,164 votes,350
"CASUAL DINING,BAR",5123,"North Indian, Chinese",11am – 11pm (Mon-Sun),Bangalore,Rajarajeshwari Nagar,3.8,34 votes,700
QUICK BITES,9309,"Fast Food, Sandwich",10am – 8:30pm (Mon-Sun),Mumbai,Near Andheri East Station,4.0,201 votes,150
QUICK BITES,6352,Chinese,"11:30am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",Secunderabad,S D Road,3.7,58 votes,600
QUICK BITES,15440,"Fast Food, Arabian",1pm – 12:30AM (Mon-Sun),Hyderabad,Mehdipatnam,4.0,176 votes,300
QUICK BITES,6302,South Indian,6am – 8pm (Mon-Sun),Kochi,Vyttila,-,,400
CASUAL DINING,6213,"Chinese, Biryani, Kebab, Seafood, South Indian, North Indian",5am – 11:30pm (Mon-Sun),Hyderabad,Saroor Nagar,3.7,770 votes,600
CASUAL DINING,5269,"North Indian, Chinese","7:30am – 3:30pm, 7:30pm – 10:30pm (Mon-Sun)",Mumbai,Juhu,4.2,888 votes,900
CASUAL DINING,3260,"Biryani, Chinese, Hyderabadi, Mughlai, Seafood",4:30am – 12:30AM (Mon-Sun),Hyderabad,Manikonda,2.5,241 votes,700
None,7280,"North Indian, Beverages, Chinese","11am – 3:30pm, 6pm – 11pm (Mon-Sun)",New Delhi,Punjabi Bagh,3.8,227 votes,600
BAKERY,2045,Bakery,"10:30am – 5pm, 6pm – 10pm (Mon-Sun)",Chennai,K.K. Nagar,3.7,39 votes,500
CASUAL DINING,12080,"South Indian, North Indian, Mughlai, Chinese, Fast Food, Beverages",8am – 12midnight (Mon-Sun),Mumbai,Kandivali East,3.4,162 votes,500
"CASUAL DINING,BAR",5140,"Finger Food, Continental, North Eastern",12noon – 11pm (Mon-Sun),Chennai,Thousand Lights,3.9,211 votes,1500
BAKERY,1366,Bakery,9am – 9:30pm (Mon-Sun),Kochi,Aluva,3.5,14 votes,200
QUICK BITES,10292,"American, Fast Food",11am – 11pm (Mon-Sun),Mumbai,Malad West,NEW,,300
QUICK BITES,12742,"Chinese, North Indian","11am – 3:30pm, 6pm – 11pm (Mon-Sun)",Hyderabad,Nallakunta,3.7,73 votes,300
CASUAL DINING,4242,"American, Italian, Lebanese",7am – 1am (Mon-Sun),Bandra West,Pali Hill,4.1,1942 votes,1100
QUICK BITES,2403,"Chinese, North Indian, Rolls",11am – 11pm (Mon-Sun),Bangalore,Jeevan Bhima Nagar,4.1,510 votes,300
CASUAL DINING,6100,"Chinese, North Indian, South Indian, Coffee and Tea, Grill","7am – 12:30pm, 12:30pm – 11:30pm (Mon-Sun)",Hyderabad,Manikonda,3.1,46 votes,400
CASUAL DINING,14143,"Continental, Desserts, Italian, North Indian, BBQ, Asian","1pm – 3:30pm, 7pm – 11:30pm (Mon),12noon –...",Mumbai,Vasai,4.3,1078 votes,700
LOUNGE,14908,"Pizza, Continental",5pm – 12midnight (Mon-Sun),Chennai,Ramapuram,3.9,71 votes,1200
None,5663,Chinese,12noon – 10:40pm (Mon-Sun),New Delhi,Vasant Kunj,4.0,911 votes,600
None,2030,"Sandwich, Fast Food, Beverages",8am – 12midnight (Mon-Sun),Mumbai,Fort,3.4,16 votes,400
CASUAL DINING,10964,North Indian,"12noon – 3pm, 6pm – 10pm (Mon-Sun)",Kochi,Fort Kochi,4.2,99 votes,1000
CASUAL DINING,11760,Chinese,"1pm – 4:30pm, 7pm – 11:30pm (Mon-Sat),1pm –...",Mumbai,Mira Road,3.8,74 votes,600
BEVERAGE SHOP,2680,Juices,9:30am – 10:30pm (Mon-Sun),Bangalore,Jayanagar,4.1,88 votes,100
QUICK BITES,11288,South Indian,6am – 11pm (Mon-Sun),Hyderabad,Abids,4.3,518 votes,150
CASUAL DINING,14064,"Indian, Chinese",12noon – 11:30pm (Mon-Sun),Kochi,Vennala,-,,400
BAKERY,2462,"Bakery, Beverages",4:30am – 12midnight (Mon-Sun),Hyderabad,Lakdikapul,4.5,756 votes,150
BAKERY,14515,Bakery,10am – 11pm (Mon-Sun),Hyderabad,Panjagutta,3.5,60 votes,400
QUICK BITES,1984,"North Indian, Mughlai",12noon – 1am (Mon-Sun),New Delhi,Rohini,3.1,22 votes,650
CAFÉ,7941,"Coffee, Chinese, Cafe",11:30am – 11:30pm (Mon-Sun),Hyderabad,Dilsukhnagar,3.5,32 votes,350
QUICK BITES,10571,"South Indian, North Indian, Chinese, Street Food",7am – 10pm (Mon-Sun),Bangalore,Basaveshwara Nagar,4.0,413 votes,400
CASUAL DINING,1678,"North Indian, Street Food","9am – 10:30pm (Mon),8am – 11pm (Tue, Wed, Thu...",Bangalore,Indiranagar,4.1,1118 votes,700
QUICK BITES,7609,South Indian,6am – 11pm (Mon-Sun),Hyderabad,Kukatpally,3.1,83 votes,150
"CASUAL DINING,BAR",2004,"North Indian, Continental, Italian",12noon – 1am (Mon-Sun),Mumbai,Santacruz West,4.6,4478 votes,1800
"CASUAL DINING,BAR",14306,"Continental, South Indian, North Indian, Chinese",11am – 11:30pm (Mon-Sun),Mumbai,Vasai,4.1,620 votes,1200
"DESSERT PARLOR,BEVERAGE SHOP",3411,"Desserts, Ice Cream",12noon – 1am (Mon-Sun),Hyderabad,LB Nagar,3.9,228 votes,300
CASUAL DINING,1281,South Indian,8am – 10:30pm (Mon-Sun),Kochi,Panampilly Nagar,2.8,28 votes,400
CASUAL DINING,47,"North Indian, Chinese","12noon – 3pm, 7pm – 10:30pm (Mon-Sun)",Chennai,Nungambakkam,3.9,248 votes,900
QUICK BITES,14892,"North Indian, South Indian, Chinese","12noon – 4pm, 7pm – 11pm (Mon-Sun)",Chennai,Arumbakkam,3.5,77 votes,300
DESSERT PARLOR,122,Desserts,12noon – 1am (Mon-Sun),Hyderabad,Habsiguda,3.9,185 votes,300
CAFÉ,2747,"Cafe, Beverages",11:30am – 10pm (Mon-Sun),Mumbai,Andheri West,4.3,569 votes,300
QUICK BITES,4666,"North Indian, Chinese, Biryani",11am – 11pm (Mon-Sun),Bangalore,Marathahalli,NEW,,300
